geoRegion,ageRange,sex,pop
AG,0 - 9,male,37362
AG,0 - 9,female,34831
AG,10 - 19,male,35144
AG,10 - 19,female,33106
AG,20 - 29,male,41439
AG,20 - 29,female,39102
AG,30 - 39,male,50581
AG,30 - 39,female,48506
AG,40 - 49,male,48683
AG,40 - 49,female,46873
AG,50 - 59,male,54730
AG,50 - 59,female,52756
AG,60 - 69,male,40278
AG,60 - 69,female,41028
AG,70 - 79,male,27627
AG,70 - 79,female,29679
AG,80+,male,12970
AG,80+,female,19377
AI,0 - 9,male,877
AI,0 - 9,female,878
AI,10 - 19,male,861
AI,10 - 19,female,798
AI,20 - 29,male,1135
AI,20 - 29,female,943
AI,30 - 39,male,1084
AI,30 - 39,female,993
AI,40 - 49,male,995
AI,40 - 49,female,960
AI,50 - 59,male,1242
AI,50 - 59,female,1210
AI,60 - 69,male,1030
AI,60 - 69,female,931
AI,70 - 79,male,741
AI,70 - 79,female,651
AI,80+,male,396
AI,80+,female,568
AR,0 - 9,male,3042
AR,0 - 9,female,2870
AR,10 - 19,male,2695
AR,10 - 19,female,2556
AR,20 - 29,male,3276
AR,20 - 29,female,2753
AR,30 - 39,male,3620
AR,30 - 39,female,3556
AR,40 - 49,male,3592
AR,40 - 49,female,3430
AR,50 - 59,male,4403
AR,50 - 59,female,4367
AR,60 - 69,male,3628
AR,60 - 69,female,3534
AR,70 - 79,male,2460
AR,70 - 79,female,2518
AR,80+,male,1167
AR,80+,female,1842
BE,0 - 9,male,51944
BE,0 - 9,female,49313
BE,10 - 19,male,49708
BE,10 - 19,female,47170
BE,20 - 29,male,59710
BE,20 - 29,female,58063
BE,30 - 39,male,71265
BE,30 - 39,female,71384
BE,40 - 49,male,68662
BE,40 - 49,female,68512
BE,50 - 59,male,77917
BE,50 - 59,female,78550
BE,60 - 69,male,62147
BE,60 - 69,female,65077
BE,70 - 79,male,47493
BE,70 - 79,female,54181
BE,80+,male,23454
BE,80+,female,38582
BL,0 - 9,male,14197
BL,0 - 9,female,13402
BL,10 - 19,male,14514
BL,10 - 19,female,13640
BL,20 - 29,male,15550
BL,20 - 29,female,14724
BL,30 - 39,male,17661
BL,30 - 39,female,17929
BL,40 - 49,male,19223
BL,40 - 49,female,19658
BL,50 - 59,male,22725
BL,50 - 59,female,23203
BL,60 - 69,male,17466
BL,60 - 69,female,18194
BL,70 - 79,male,13571
BL,70 - 79,female,15824
BL,80+,male,7860
BL,80+,female,11628
BS,0 - 9,male,9595
BS,0 - 9,female,8995
BS,10 - 19,male,8060
BS,10 - 19,female,7568
BS,20 - 29,male,11590
BS,20 - 29,female,11905
BS,30 - 39,male,16822
BS,30 - 39,female,17105
BS,40 - 49,male,13918
BS,40 - 49,female,13454
